fold,part,species,clips,groups,tapes
2,test,SpermWhale,203,12,12
2,test,SpinnerDolphin,120,1,1
2,test,StripedDolphin,250,1,1
2,test,Walrus,27,3,3
2,test,WeddellSeal,19,2,2
3,train,Beluga_WhiteWhale,88,8,8
3,train,HumpbackWhale,412,10,10
3,train,KillerWhale,1664,43,43
3,train,Long_FinnedPilotWhale,659,12,12
3,train,NorthernRightWhale,203,12,12
3,train,Short_Finned(Pacific)PilotWhale,288,10,10
3,train,SpermWhale,649,37,37
3,train,SpinnerDolphin,296,9,9
3,train,StripedDolphin,518,4,4
3,train,Walrus,205,6,6
3,train,WeddellSeal,63,7,7
3,validation,Beluga_WhiteWhale,19,2,2
3,validation,HumpbackWhale,62,1,1
3,validation,KillerWhale,415,9,9
3,validation,Long_FinnedPilotWhale,161,5,5
3,validation,NorthernRightWhale,72,1,1
3,validation,Short_Finned(Pacific)PilotWhale,123,1,1
3,validation,SpermWhale,162,10,10
3,validation,SpinnerDolphin,68,1,1
3,validation,StripedDolphin,58,3,3
3,validation,Walrus,29,1,1
3,validation,WeddellSeal,18,2,2
3,test,Beluga_WhiteWhale,24,2,2
3,test,HumpbackWhale,72,1,1
3,test,KillerWhale,522,13,13
3,test,Long_FinnedPilotWhale,247,1,1
3,test,NorthernRightWhale,67,4,4
3,test,Short_Finned(Pacific)PilotWhale,147,1,1
3,test,SpermWhale,202,11,11
3,test,SpinnerDolphin,79,2,2
3,test,StripedDolphin,82,3,3
3,test,Walrus,28,4,4
3,test,WeddellSeal,21,2,2
4,train,Beluga_WhiteWhale,76,10,10
4,train,HumpbackWhale,393,8,8
4,train,KillerWhale,1664,43,43
4,train,Long_FinnedPilotWhale,722,12,12
4,train,NorthernRightWhale,221,11,11
4,train,Short_Finned(Pacific)PilotWhale,367,10,10
4,train,SpermWhale,648,39,39
4,train,SpinnerDolphin,291,7,7
4,train,StripedDolphin,471,7,7
4,train,Walrus,204,8,8
4,train,WeddellSeal,65,8,8
4,validation,Beluga_WhiteWhale,20,1,1
4,validation,HumpbackWhale,72,1,1
4,validation,KillerWhale,417,9,9
4,validation,Long_FinnedPilotWhale,141,2,2
4,validation,NorthernRightWhale,52,3,3
4,validation,Short_Finned(Pacific)PilotWhale,88,1,1
4,validation,SpermWhale,163,8,8
4,validation,SpinnerDolphin,70,2,2
4,validation,StripedDolphin,56,1,1
4,validation,Walrus,29,1,1
4,validation,WeddellSeal,16,1,1
4,test,Beluga_WhiteWhale,35,1,1
4,test,HumpbackWhale,81,3,3
4,test,KillerWhale,520,13,13
4,test,Long_FinnedPilotWhale,204,4,4
4,test,NorthernRightWhale,69,3,3
4,test,Short_Finned(Pacific)PilotWhale,103,1,1
4,test,SpermWhale,202,11,11
4,test,SpinnerDolphin,82,3,3
4,test,StripedDolphin,131,2,2
4,test,Walrus,29,2,2
4,test,WeddellSeal,21,2,2
