species,tape_id,clips,kept_clips,year,native_sample_rate,seconds
SpermWhale,75005,22,22,1975,80000,61.6831125
SpermWhale,75006,36,9,1975,20000,712.34785
SpermWhale,75007,12,3,1975,10000,236.03869999999998
SpermWhale,75008,9,0,1975,10000,2.88
SpermWhale,75009,6,0,1975,10000,1.92
SpermWhale,75010,5,0,1975,10000,1.6
SpermWhale,75011,60,60,1975,40960,169.42531662665067
SpermWhale,75012,17,17,1975,166600,46.55172869147659
SpermWhale,77028,19,15,1977,81920,14.3593994140625
SpermWhale,77035,16,16,1977,166600,30.606026410564226
SpermWhale,83019,64,11,1983,40960,26.93597412109375
SpermWhale,84007,5,5,1984,60600,335.0494884488449
SpermWhale,84014,12,12,1984,40960,96.36093749999999
SpermWhale,84016,12,12,1984,160000,1994.275825510204
SpermWhale,84018,10,10,1984,160000,1057.59368125
SpermWhale,84020,1,1,1984,40000,20.032225
SpermWhale,84021,2,2,1984,40000,93.6601875
SpermWhale,85002,95,95,1985,81920,452.89510416666667
SpermWhale,85003,14,14,1985,81920,70.2822181372549
SpermWhale,85004,7,7,1985,81920,18.8390625
SpermWhale,85005,8,8,1985,81920,13.505379901960785
SpermWhale,85009,38,29,1985,81600,74.38555147058824
SpermWhale,85010,7,7,1985,81920,24.229295343137256
SpermWhale,87009,35,17,1987,40000,24.68565
SpermWhale,87011,2,2,1987,40960,71.25
SpermWhale,87017,5,5,1987,40960,10.979932414139851
SpermWhale,88002,97,95,1988,81600,857.0146455248766
SpermWhale,90007,10,10,1990,160000,2049.88069375
SpermWhale,90008,15,15,1990,160000,2311.0356125
SpermWhale,90009,10,10,1990,160000,2047.8679375000002
SpermWhale,90010,15,15,1990,160000,2184.8428750000003
SpermWhale,90011,5,5,1990,160000,3493.4199
SpermWhale,90027,8,8,1990,166600,17.006266506602643
SpermWhale,90033,5,5,1990,160000,1614.76890625
SpermWhale,90039,10,10,1990,43900,1070.467787229499
SpermWhale,90043,5,5,1990,160000,2034.3596687499999
SpermWhale,90046,31,31,1990,160000,4657.824584254535
SpermWhale,90065,35,35,1990,160000,2471.4892375
SpermWhale,91003,76,4,1991,81920,80.2596435546875
SpermWhale,91012,15,13,1991,81920,12.06187744140625
SpermWhale,93001,7,7,1993,81600,97.13166666666666
SpermWhale,93003,4,4,1993,81920,11.34375
SpermWhale,93006,3,3,1993,81920,8.3625
SpermWhale,93570,46,46,1993,81600,296.95658088235297
SpermWhale,93573,51,51,1993,81600,235.356875
SpermWhale,93580,5,5,1993,81600,5.603995098039216
SpermWhale,93582,20,20,1993,81600,29.317267156862744
SpermWhale,93584,32,32,1993,81600,80.41763480392157
SpermWhale,93591,6,6,1993,81920,340.1029779411765
SpermWhale,94004,16,14,1994,60600,207.08679867986797
SpermWhale,94005,13,13,1994,60600,1922.882224130576
SpermWhale,94011,6,6,1994,60600,14.852755775577558
SpermWhale,94201,24,21,1994,47600,238.48466386554622
SpermWhale,95001,26,26,1995,160000,6791.84153039966
SpermWhale,95510,23,4,1995,30000,814.0184666666667
SpermWhale,95516,48,0,1995,30000,15.36
SpermWhale,95518,7,0,1995,30000,2.24
SpermWhale,95519,77,18,1995,30000,46.54866666666667
