species,tape_id,clips,kept_clips,year,native_sample_rate,seconds
KillerWhale,97770,10,10,1997,21900,16.71771689497717
KillerWhale,97771,23,22,1997,21900,33.691095890410956
KillerWhale,97772,33,33,1997,21900,44.0924200913242
KillerWhale,97773,27,27,1997,21900,30.25324200913242
KillerWhale,97774,6,6,1997,21900,8.664840182648401
KillerWhale,97775,24,21,1997,21900,35.97
KillerWhale,97776,25,25,1997,21900,40.86853881278539
KillerWhale,97777,7,7,1997,21900,7.972237442922374
KillerWhale,97778,21,20,1997,21900,24.64365296803653
KillerWhale,97779,28,28,1997,21900,37.04694063926941
KillerWhale,97780,21,21,1997,21900,27.4586301369863
KillerWhale,97781,10,10,1997,21900,16.58447488584475
KillerWhale,97782,14,14,1997,21900,19.91780821917808
KillerWhale,97783,1,1,1997,21900,2.332420091324201
Long_FinnedPilotWhale,53007,14,14,1953,23500,59.37621276595745
Long_FinnedPilotWhale,54004,62,62,1954,30000,277.0968
Long_FinnedPilotWhale,54024,13,13,1954,30000,363.136600660066
Long_FinnedPilotWhale,56034,16,16,1956,30000,41.145066666666665
Long_FinnedPilotWhale,56035,7,7,1956,25900,15.994054054054054
Long_FinnedPilotWhale,58001,47,47,1958,40000,83.92325
Long_FinnedPilotWhale,58037,54,46,1958,40960,59.46264093137255
Long_FinnedPilotWhale,75004,141,128,1975,81600,210.7991911764706
Long_FinnedPilotWhale,75005,99,96,1975,80000,211.389175
Long_FinnedPilotWhale,75010,51,51,1975,166600,120.57469387755101
Long_FinnedPilotWhale,75011,178,178,1975,166600,441.0232052821128
Long_FinnedPilotWhale,75012,247,247,1975,166600,630.8971788715486
Long_FinnedPilotWhale,77026,10,10,1977,166600,22.63689075630252
Long_FinnedPilotWhale,77028,26,24,1977,81920,24.5197021484375
Long_FinnedPilotWhale,77034,32,32,1977,81920,360.756427207418
Long_FinnedPilotWhale,77035,69,69,1977,166600,118.21076830732292
Long_FinnedPilotWhale,91772,2,2,1991,40960,1.584375
Long_FinnedPilotWhale,94201,36,25,1994,47600,44.76720588235294
NorthernRightWhale,56015,17,0,1956,8000,36.00925
NorthernRightWhale,56016,67,0,1956,8000,127.011875
NorthernRightWhale,56017,43,41,1956,10200,66.76009803921569
NorthernRightWhale,56018,8,0,1956,8000,16.127375
NorthernRightWhale,56025,20,20,1956,10200,48.30813725490196
NorthernRightWhale,56026,12,12,1956,10200,30.479313725490194
NorthernRightWhale,56028,2,2,1956,10200,3.8995098039215685
NorthernRightWhale,56068,42,0,1956,2560,47.090625
NorthernRightWhale,59001,12,12,1959,10000,30.471
NorthernRightWhale,59003,25,25,1959,10000,52.9955
NorthernRightWhale,59004,23,23,1959,14900,47.21489932885906
NorthernRightWhale,59005,6,6,1959,10000,13.6136
NorthernRightWhale,59006,10,10,1959,14900,20.66315436241611
NorthernRightWhale,70014,22,22,1970,20480,25.91015625
NorthernRightWhale,70016,12,12,1970,10000,33.46
NorthernRightWhale,70017,16,14,1970,1280,40.91885
NorthernRightWhale,70018,30,30,1970,10000,58.3833
NorthernRightWhale,74003,6,0,1974,5120,9.0
NorthernRightWhale,81012,6,6,1981,14900,12.324429530201343
NorthernRightWhale,81013,19,19,1981,14900,51.608859060402686
NorthernRightWhale,81014,72,72,1981,14900,172.27510067114093
NorthernRightWhale,81015,16,16,1981,14900,40.90892617449664
Short_Finned(Pacific)PilotWhale,57021,23,23,1957,30000,562.7528534653466
Short_Finned(Pacific)PilotWhale,58021,3,3,1958,30000,7.975366666666666
Short_Finned(Pacific)PilotWhale,61004,1,1,1961,30000,3.1697333333333333
Short_Finned(Pacific)PilotWhale,65002,1,1,1965,20000,5.994
Short_Finned(Pacific)PilotWhale,65005,2,2,1965,30000,7.000400000000001
Short_Finned(Pacific)PilotWhale,66091,26,26,1966,40000,61.414699999999996
Short_Finned(Pacific)PilotWhale,67026,12,12,1967,20480,17.71376953125
Short_Finned(Pacific)PilotWhale,81037,30,29,1981,30000,48.26712447916667
Short_Finned(Pacific)PilotWhale,91004,147,147,1991,100000,266.45902
Short_Finned(Pacific)PilotWhale,91005,131,123,1991,40000,142.751575
Short_Finned(Pacific)PilotWhale,94008,97,88,1994,80000,142.7097875
Short_Finned(Pacific)PilotWhale,94009,134,103,1994,80000,125.3137875
SpermWhale,52008,3,3,1952,30000,12.814166666666667
SpermWhale,61027,4,4,1961,30000,17.223233333333333
SpermWhale,62031,3,3,1962,81920,31.99246826171875
SpermWhale,66026,75,63,1966,81920,53.85234375
SpermWhale,72009,24,24,1972,40960,2281.547836819728
SpermWhale,75005,22,22,1975,80000,61.6831125
SpermWhale,75006,36,9,1975,20000,712.34785
SpermWhale,75007,12,3,1975,10000,236.03869999999998
SpermWhale,75008,9,0,1975,10000,2.88
SpermWhale,75009,6,0,1975,10000,1.92
SpermWhale,75010,5,0,1975,10000,1.6
SpermWhale,75011,60,60,1975,40960,169.42531662665067
SpermWhale,75012,17,17,1975,166600,46.55172869147659
SpermWhale,77028,19,15,1977,81920,14.3593994140625
SpermWhale,77035,16,16,1977,166600,30.606026410564226
SpermWhale,83019,64,11,1983,40960,26.93597412109375
SpermWhale,84007,5,5,1984,60600,335.0494884488449
SpermWhale,84014,12,12,1984,40960,96.36093749999999
SpermWhale,84016,12,12,1984,160000,1994.275825510204
SpermWhale,84018,10,10,1984,160000,1057.59368125
SpermWhale,84020,1,1,1984,40000,20.032225
SpermWhale,84021,2,2,1984,40000,93.6601875
SpermWhale,85002,95,95,1985,81920,452.89510416666667
SpermWhale,85003,14,14,1985,81920,70.2822181372549
SpermWhale,85004,7,7,1985,81920,18.8390625
SpermWhale,85005,8,8,1985,81920,13.505379901960785
SpermWhale,85009,38,29,1985,81600,74.38555147058824
SpermWhale,85010,7,7,1985,81920,24.229295343137256
SpermWhale,87009,35,17,1987,40000,24.68565
SpermWhale,87011,2,2,1987,40960,71.25
SpermWhale,87017,5,5,1987,40960,10.979932414139851
SpermWhale,88002,97,95,1988,81600,857.0146455248766
SpermWhale,90007,10,10,1990,160000,2049.88069375
SpermWhale,90008,15,15,1990,160000,2311.0356125
SpermWhale,90009,10,10,1990,160000,2047.8679375000002
SpermWhale,90010,15,15,1990,160000,2184.8428750000003
SpermWhale,90011,5,5,1990,160000,3493.4199
SpermWhale,90027,8,8,1990,166600,17.006266506602643
SpermWhale,90033,5,5,1990,160000,1614.76890625
SpermWhale,90039,10,10,1990,43900,1070.467787229499
SpermWhale,90043,5,5,1990,160000,2034.3596687499999
SpermWhale,90046,31,31,1990,160000,4657.824584254535
SpermWhale,90065,35,35,1990,160000,2471.4892375
SpermWhale,91003,76,4,1991,81920,80.2596435546875
SpermWhale,91012,15,13,1991,81920,12.06187744140625
SpermWhale,93001,7,7,1993,81600,97.13166666666666
SpermWhale,93003,4,4,1993,81920,11.34375
SpermWhale,93006,3,3,1993,81920,8.3625
SpermWhale,93570,46,46,1993,81600,296.95658088235297
SpermWhale,93573,51,51,1993,81600,235.356875
SpermWhale,93580,5,5,1993,81600,5.603995098039216
SpermWhale,93582,20,20,1993,81600,29.317267156862744
SpermWhale,93584,32,32,1993,81600,80.41763480392157
SpermWhale,93591,6,6,1993,81920,340.1029779411765
SpermWhale,94004,16,14,1994,60600,207.08679867986797
SpermWhale,94005,13,13,1994,60600,1922.882224130576
SpermWhale,94011,6,6,1994,60600,14.852755775577558
SpermWhale,94201,24,21,1994,47600,238.48466386554622
SpermWhale,95001,26,26,1995,160000,6791.84153039966
SpermWhale,95510,23,4,1995,30000,814.0184666666667
SpermWhale,95516,48,0,1995,30000,15.36
SpermWhale,95518,7,0,1995,30000,2.24
SpermWhale,95519,77,18,1995,30000,46.54866666666667
SpinnerDolphin,71001,120,120,1971,80000,396.1261775165016
SpinnerDolphin,71002,87,20,1971,148100,43.49917722393441
SpinnerDolphin,71003,30,30,1971,81920,45.84732666015625
SpinnerDolphin,71004,69,68,1971,80000,1416.6378916666667
SpinnerDolphin,71006,8,8,1971,80000,11.9804
SpinnerDolphin,71007,36,24,1971,80000,29.109484158415842
SpinnerDolphin,71008,58,58,1971,80000,130.3917625
SpinnerDolphin,71009,22,21,1971,80000,64.9405125
SpinnerDolphin,71010,50,50,1971,80000,174.967525
SpinnerDolphin,81024,10,10,1981,81920,14.1796875
SpinnerDolphin,81038,30,30,1981,80000,43.0192
SpinnerDolphin,83034,4,4,1983,80000,4.454325
StripedDolphin,58011,59,55,1958,60600,102.1126402640264
StripedDolphin,61024,13,13,1961,81920,18.43359375
StripedDolphin,61029,14,13,1961,81920,18.7880859375
StripedDolphin,72007,120,120,1972,166600,296.0156242496999
StripedDolphin,75003,95,93,1975,81600,165.85650735294118
StripedDolphin,75005,2,2,1975,80000,4.83525
StripedDolphin,85007,56,56,1985,81600,132.7614093137255
StripedDolphin,85009,11,11,1985,81920,11.0296875
StripedDolphin,85012,264,250,1985,81600,451.37483578431375
StripedDolphin,94201,47,45,1994,47600,98.52537815126051
Walrus,66006,4,4,1966,30000,17.553833333333333
Walrus,66038,3,3,1966,18000,16.399555555555555
Walrus,70024,9,9,1970,20480,25.21875
Walrus,72002,29,29,1972,20000,262.70925
Walrus,72014,18,8,1972,10240,21.79453125
Walrus,72016,12,12,1972,10240,56.6765625
Walrus,72017,21,21,1972,20480,101.2875
Walrus,72019,14,14,1972,40960,66.416015625
Walrus,72020,12,12,1972,20480,57.120166015625
Walrus,72021,1,1,1972,10240,142.5
Walrus,83001,150,149,1983,10000,280.0682
WeddellSeal,64037,17,10,1964,40000,41.939825
WeddellSeal,64038,11,11,1964,40000,291.866725
WeddellSeal,64040,5,5,1964,40000,96.61
WeddellSeal,64041,13,11,1964,20480,86.5552734375
WeddellSeal,64042,11,8,1964,10240,109.67544205580866
WeddellSeal,64043,5,5,1964,40000,99.126575
WeddellSeal,64044,6,6,1964,40000,153.044725
WeddellSeal,64046,7,7,1964,40000,94.3039
WeddellSeal,64054,21,11,1964,40000,131.138625
WeddellSeal,64055,25,16,1964,40000,201.4572
WeddellSeal,64056,12,12,1964,40000,203.42745
